Question Num|Question|Option-A|Option-B|Option-C|Option-D|Option-E|Answer|Explanation|
50|Find the antonym of the other three:|accuse|blame|defend|defame|-|C|"Accuse", "blame", and "defame" all mean to criticize or assign guilt, so "defend" (to protect or stand up for) is the opposite of the other three.|
11|Most of the students had already **expressed** their anger about the unfair school rules.|hidden|analysed|reduced|embodied|alleviated|A|"Expressed" means made feelings known, so its opposite is "hidden" (kept secret or unshown).|
12|After the meeting, he spoke to his colleagues in a **solemn** manner.|cheerful|frightened|quiet|confident|obnoxious|A|"Solemn" means serious and formal, so its opposite is "cheerful" (happy and lively).|
13|The historian was **riveted** by the museum’s display of ancient artefacts.|wearied|fascinated|uninterested|bewildered|distressed|C|"Riveted" means completely fascinated and holding your full attention, so its opposite is "uninterested".|
14|I recently **obtained** a new racket to play tennis with.|lost|broke|traded|donated|damaged|A|"Obtained" means got or gained something, so its opposite is "lost".|
15|Their knowledge of the flags of the world is **extensive**.|embarrassing|suspicious|admirable|limited|unimpressive|D|"Extensive" means large and wide-ranging, so its opposite is "limited" (small or narrow).|
37|It was **disingenuous** of him to claim that he had no personal interest in the case.|honourable|sincere|devious|naïve|harsh|B|"Disingenuous" means dishonest or insincere, so its opposite is "sincere" (truthful and genuine).|
38|**Begrudgingly**, they admitted that she had made the right decision.|Confidently|Finally|Willingly|Joyfully|Reluctantly|C|"Begrudgingly" means doing something reluctantly or unwillingly, so its opposite is "Willingly" (eagerly and happily doing it).|
39|His expensive spending habits were evidence of his **extravagance**.|childishness|intelligence|seriousness|frugality|generosity|D|"Extravagance" means spending money wastefully, so its opposite is "frugality" (being careful and saving money).|
40|They appeared to be **remorseful** when they returned from the forbidden party.|unashamed|guilty|disgraced|nonchalant|curious|A|"Remorseful" means feeling sorry for doing something wrong, so its opposite is "unashamed" (feeling no regret at all).|
41|For some animal rights activists, wearing fur is **tantamount** to eating meat.|worse than|as horrible as|not equivalent to|disproportionate to|less harmful than|C|"Tantamount" means equal or equivalent in seriousness, so its opposite is "not equivalent to".|
21|They **deduced** that her pencil case must have been left at school.|argued|believed|misinterpreted|forgot|denied|C|"Deduced" means correctly worked out logically, so its opposite is "misinterpreted" (understood or worked out wrongly).|
22|She felt **indifferent** about going on holiday somewhere cold this summer.|enthusiastic|nervous|annoyed|unconcerned|wary|A|"Indifferent" means not caring one way or the other, so its opposite is "enthusiastic" (feeling very excited and interested).|
23|They have had **incessant** snowfall since last night.|slight|occasional|heavy|moderate|continuous|B|"Incessant" means never stopping, so its opposite is "occasional" (happening only from time to time).|
24|She took a few **tentative** steps into the office.|ungainly|grand|courage|resolute|cautious|D|"Tentative" means hesitant and uncertain, so its opposite is "resolute" (firm, bold, and determined).|
25|Susie had a shy son and an **errant** daughter who was hard to control.|understanding|ambitious|obedient|charismatic|wayward|C|"Errant" means misbehaving or wandering off, so its opposite is "obedient" (following rules properly).|
21|She reminded him that he wasn’t **infallible** just because he was a professor at a good university.|flawless|inferior|impoverished|imperfect|disagreeable|D|"Infallible" means never making mistakes, so its opposite is "imperfect" (capable of making mistakes).|
22|They were finding it difficult to produce an **articulate** essay.|coherent|uninteresting|eloquent|ambiguous|simple|D|"Articulate" means expressing ideas clearly and fluently, so its opposite is "ambiguous" (unclear and confusing).|
23|She **endeavoured** to complete all her tasks by the end of the day.|aspired|forgot|neglected|struggled|attempted|C|"Endeavoured" means tried hard to achieve something, so its opposite is "neglected" (failed to care for or do something).|
24|Her recovery from her recent illness was a true test of her **fortitude**.|carelessness|fragility|determination|triviality|rigidity|B|"Fortitude" means mental strength and courage when facing difficulty, so its opposite is "fragility" (weakness).|
25|The **burgeoning** flowers in his garden were likely to win many awards this summer.|delicate|flourishing|malnourished|dwindling|small|D|"Burgeoning" means growing rapidly and thriving, so its opposite is "dwindling" (shrinking or decreasing).|
26|The lack of funding proved to be a significant **impediment** to her project.|issue|simplification|advantage|priority|assistance|E|"Impediment" means something that blocks progress, so its opposite is "assistance" (something that helps progress).|
27|As the sun set on the horizon, the **luminous** colours of the sky created a breathtaking scene.|dim|plain|frightful|ugly|unremarkable|A|"Luminous" means glowing brightly, so its opposite is "dim" (faint and dark).|
28|During the meeting, the manager only gave the report a **cursory** glance before moving on.|thorough|intense|unexpected|perplexed|fascinated|A|"Cursory" means quick and not detailed, so its opposite is "thorough" (detailed and careful).|
29|The recent flu outbreak has **debilitated** a significant portion of the workforce.|pleased|diverted|exasperated|convinced|restored|E|"Debilitated" means made weak and frail, so its opposite is "restored" (returned to health and strength).|
30|The **transient** rain shower passed fairly quickly, leaving only small puddles.|gloomy|gentle|revitalizing|sporadic|continuous|E|"Transient" means lasting for only a short time, so its opposite is "continuous" (going on without stopping).|
36|There was **abundant** food at the wedding – no one went hungry.|unimpressive|luxurious|cold|insufficient|salty|D|"Abundant" means existing in large quantities, so its opposite is "insufficient" (not enough).|
