Question_Num|Question|Option-A|Option-B|Option-C|Option-D|Answer|Explanation|
30|Use 76 ÷ 4 = 19 to find 76 ÷ 8.|19|9.5|38|10|B|8 is double 4, so the answer is half of 19: 19 ÷ 2 = 9.5.|
31|Use 60 ÷ 4 = 15 to find 60 ÷ 8.|15|30|7.5|8|C|8 is double 4, so the answer is half of 15: 15 ÷ 2 = 7.5.|
32|Use 112 ÷ 8 = 14 to find 112 ÷ 4.|14|56|24|28|D|4 is half of 8, so the answer is double 14: 14 × 2 = 28.|
33|Use 120 ÷ 8 = 15 to find 120 ÷ 4.|30|15|60|25|A|4 is half of 8, so the answer is double 15: 15 × 2 = 30.|
34|Use 136 ÷ 8 = 17 to find 136 ÷ 4.|17|34|68|30|B|4 is half of 8, so the answer is double 17: 17 × 2 = 34.|
35|Use 144 ÷ 8 = 18 to find 144 ÷ 4.|18|72|36|32|C|4 is half of 8, so the answer is double 18: 18 × 2 = 36.|
36|Use 152 ÷ 8 = 19 to find 152 ÷ 4.|19|76|34|38|D|4 is half of 8, so the answer is double 19: 19 × 2 = 38.|
37|Use 45 ÷ 9 = 5 to find 0.45 ÷ 9.|0.05|5|0.5|0.005|A|0.45 is 45 ÷ 100, so the answer is 100 times smaller: 5 ÷ 100 = 0.05.|
38|Use 36 ÷ 6 = 6 to find 0.36 ÷ 6.|6|0.06|0.6|0.006|B|0.36 is 36 ÷ 100, so the answer is 100 times smaller: 6 ÷ 100 = 0.06.|
39|Use 64 ÷ 8 = 8 to find 0.64 ÷ 8.|8|0.8|0.08|0.008|C|0.64 is 64 ÷ 100, so the answer is 100 times smaller: 8 ÷ 100 = 0.08.|
40|Use 72 ÷ 9 = 8 to find 0.72 ÷ 9.|8|0.8|0.008|0.08|D|0.72 is 72 ÷ 100, so the answer is 100 times smaller: 8 ÷ 100 = 0.08.|
41|Use 81 ÷ 9 = 9 to find 0.81 ÷ 9.|0.09|9|0.9|0.009|A|0.81 is 81 ÷ 100, so the answer is 100 times smaller: 9 ÷ 100 = 0.09.|
42|Use 6 × 7 = 42 to find 0.6 × 0.7.|42|0.42|4.2|0.042|B|0.6 and 0.7 are both 10 times smaller than 6 and 7, so the answer is 100 times smaller: 42 ÷ 100 = 0.42.|
43|Use 8 × 9 = 72 to find 0.8 × 0.9.|72|7.2|0.72|0.072|C|0.8 and 0.9 are both 10 times smaller than 8 and 9, so the answer is 100 times smaller: 72 ÷ 100 = 0.72.|
44|Use 5 × 4 = 20 to find 0.5 × 0.4.|20|2|0.02|0.2|D|0.5 and 0.4 are both 10 times smaller than 5 and 4, so the answer is 100 times smaller: 20 ÷ 100 = 0.2.|
45|Use 9 × 3 = 27 to find 0.9 × 0.3.|0.27|27|2.7|0.027|A|0.9 and 0.3 are both 10 times smaller than 9 and 3, so the answer is 100 times smaller: 27 ÷ 100 = 0.27.|
46|Use 7 × 7 = 49 to find 0.7 × 0.7.|49|0.49|4.9|0.049|B|0.7 and 0.7 are both 10 times smaller than 7 and 7, so the answer is 100 times smaller: 49 ÷ 100 = 0.49.|
47|Use 13 × 6 = 78 to find 13 × 7.|78|65|91|104|C|13 × 7 is one more group of 13 than 13 × 6, so add 13: 78 + 13 = 91.|
48|Use 14 × 8 = 112 to find 14 × 7.|112|126|84|98|D|14 × 7 is one fewer group of 14 than 14 × 8, so subtract 14: 112 − 14 = 98.|
49|Use 18 × 5 = 90 to find 18 × 6.|108|90|72|126|A|18 × 6 is one more group of 18 than 18 × 5, so add 18: 90 + 18 = 108.|
50|Use 15 × 7 = 105 to find 15 × 6.|105|90|120|75|B|15 × 6 is one fewer group of 15 than 15 × 7, so subtract 15: 105 − 15 = 90.|
51|Use 12 × 15 = 180 to find 14 × 15.|210|180|240|200|A|14 is 12 plus 2 more groups of 15, so add 2 × 15 = 30 to 180: 180 + 30 = 210.|
52|Use 16 × 9 = 144 to find 13 × 9.|144|117|153|126|B|13 is 16 minus 3 groups of 9, so subtract 3 × 9 = 27 from 144: 144 − 27 = 117.|
53|Use 11 × 23 = 253 to find 13 × 23.|253|276|299|322|C|13 is 11 plus 2 more groups of 23, so add 2 × 23 = 46 to 253: 253 + 46 = 299.|
54|Use 9 × 24 = 216 to find 19 × 24.|432|408|480|456|D|19 is double 9 plus 1 more group (9 × 2 + 1 = 19), so double 216 to get 432, then add one more 24: 432 + 24 = 456.|
55|Use 7 × 18 = 126 to find 15 × 18.|270|252|288|261|A|15 is double 7 plus 1 more group (7 × 2 + 1 = 15), so double 126 to get 252, then add one more 18: 252 + 18 = 270.|
56|Use 6 × 14 = 84 and 3 × 14 = 42 to find 9 × 14.|84|126|168|112|B|9 is 6 plus 3, so add the two products: 84 + 42 = 126.|
57|Use 8 × 13 = 104 and 2 × 13 = 26 to find 6 × 13.|104|130|78|91|C|6 is 8 minus 2, so subtract the two products: 104 − 26 = 78.|
58|Use 6 × 25 = 150 to find 6 × 27.|150|156|168|162|D|27 is 25 plus 2, so add 2 more groups of 6: 150 + (2 × 6) = 150 + 12 = 162.|
59|Use 8 × 30 = 240 to find 8 × 28.|224|216|232|208|A|28 is 30 minus 2, so subtract 2 groups of 8: 240 − (2 × 8) = 240 − 16 = 224.|
60|Use 9 × 9 = 81 to find 9 × 11.|81|99|108|90|B|11 is 9 plus 2, so add 2 more groups of 9: 81 + (2 × 9) = 81 + 18 = 99.|
