Question_Num|Question|Option-A|Option-B|Option-C|Option-D|Answer|Explanation|
63|1/20 × 40 = ?|800|20|2|4|C|Fraction×Integer: 40 ÷ 20 = 2, then × 1 = 2.|
64|3/20 × 40 = ?|6|120|2|43|A|Fraction×Integer: 40 ÷ 20 = 2, then × 3 = 6.|
65|1/25 × 50 = ?|1250|25|2|5|C|Fraction×Integer: 50 ÷ 25 = 2, then × 1 = 2.|
66|1/50 × 100 = ?|5000|50|2|1|C|Fraction×Integer: 100 ÷ 50 = 2, then × 1 = 2.|
67|2/3 × 12 = ?|8|24|4|14|A|Fraction×Integer: 12 ÷ 3 = 4, then × 2 = 8.|
68|0.5 × 8 = ?|4|1.6|13|40|A|Decimal×Integer: 0.5 is half, so half of 8 = 4.|
69|0.25 × 12 = ?|48|3|0.25|17|B|Decimal×Integer: 0.25 is a quarter, so a quarter of 12 = 3.|
70|0.75 × 8 = ?|6|2|56|15|A|Decimal×Integer: 0.75 is three quarters; a quarter of 8 = 2, so three quarters = 6.|
71|0.1 × 30 = ?|300|0.3|3|13|C|Decimal×Integer: 0.1 is a tenth, so a tenth of 30 = 3.|
72|0.2 × 15 = ?|3|75|1.5|30|A|Decimal×Integer: 0.2 is a fifth, so a fifth of 15 = 3.|
73|0.4 × 10 = ?|40|0.4|4|14|C|Decimal×Integer: 0.4 × 10 moves the decimal point one place: 4.|
74|0.6 × 5 = ?|3|30|1.2|11|A|Decimal×Integer: 0.6 × 5 = 6 × 5 ÷ 10 = 30 ÷ 10 = 3.|
75|0.8 × 5 = ?|40|4|1.6|13|B|Decimal×Integer: 0.8 × 5 = 8 × 5 ÷ 10 = 40 ÷ 10 = 4.|
76|0.9 × 10 = ?|9|90|0.9|19|A|Decimal×Integer: 0.9 × 10 moves the decimal point one place: 9.|
77|0.05 × 40 = ?|200|20|2|0.2|C|Decimal×Integer: 0.05 is a twentieth, so a twentieth of 40 = 2.|
78|0.02 × 50 = ?|100|10|1|0.1|C|Decimal×Integer: 0.02 is a fiftieth, so a fiftieth of 50 = 1.|
79|0.01 × 100 = ?|1|10|100|0.1|A|Decimal×Integer: 0.01 is a hundredth, so a hundredth of 100 = 1.|
80|1.5 × 4 = ?|6|20|5.4|64|A|Decimal×Integer: 1 × 4 = 4 and 0.5 × 4 = 2, so 4 + 2 = 6.|
81|2.5 × 4 = ?|10|8|20|6.5|A|Decimal×Integer: 2 × 4 = 8 and 0.5 × 4 = 2, so 8 + 2 = 10.|
82|0.3 × 20 = ?|60|6|0.6|23|B|Decimal×Integer: 0.3 is three tenths, so three tenths of 20 = 6.|
83|0.7 × 10 = ?|7|70|0.7|17|A|Decimal×Integer: 0.7 × 10 moves the decimal point one place: 7.|
84|0.05 × 100 = ?|50|0.5|5|500|C|Decimal×Integer: 0.05 × 100 moves the decimal point two places: 5.|
85|10% of 50 = ?|5|50|0.5|15|A|Percent×Integer: 10% is a tenth, so a tenth of 50 = 5.|
86|50% of 18 = ?|9|36|90|18|A|Percent×Integer: 50% is a half, so half of 18 = 9.|
87|25% of 20 = ?|80|5|15|50|B|Percent×Integer: 25% is a quarter, so a quarter of 20 = 5.|
88|20% of 15 = ?|3|75|1.5|30|A|Percent×Integer: 20% is a fifth, so a fifth of 15 = 3.|
89|5% of 40 = ?|200|20|2|8|C|Percent×Integer: 5% is a twentieth, so a twentieth of 40 = 2.|
90|1% of 200 = ?|2|20|200|0.2|A|Percent×Integer: 1% is a hundredth, so a hundredth of 200 = 2.|
91|75% of 8 = ?|6|2|56|75|A|Percent×Integer: 75% is three quarters; a quarter of 8 = 2, so three quarters = 6.|
92|10% of 90 = ?|90|9|0.9|19|B|Percent×Integer: 10% is a tenth, so a tenth of 90 = 9.|
93|50% of 30 = ?|15|60|150|25|A|Percent×Integer: 50% is a half, so half of 30 = 15.|
94|20% of 25 = ?|125|5|2.5|45|B|Percent×Integer: 20% is a fifth, so a fifth of 25 = 5.|
95|25% of 40 = ?|10|160|4|30|A|Percent×Integer: 25% is a quarter, so a quarter of 40 = 10.|
96|2% of 50 = ?|100|10|1|0.5|C|Percent×Integer: 2% is a fiftieth, so a fiftieth of 50 = 1.|
97|10% of 120 = ?|12|120|1.2|22|A|Percent×Integer: 10% is a tenth, so a tenth of 120 = 12.|
98|100% of 7 = ?|7|70|0.7|17|A|Percent×Integer: 100% means the whole amount, so the answer is just 7.|
99|5% of 60 = ?|300|30|3|12|C|Percent×Integer: 5% is a twentieth, so a twentieth of 60 = 3.|
100|50% of 90 = ?|45|180|450|40|A|Percent×Integer: 50% is a half, so half of 90 = 45.|
