Question Num|Question|Option-A|Option-B|Option-C|Option-D|Answer|Explanation|Feedback-A|Feedback-B|Feedback-C|Feedback-D|
18|Even though I’ve done all the revision I can, I still feel **apprehensive** about this test.|unlikely|watchful|uneasy|sure|C|"Apprehensive" means feeling worried that something bad might happen, like feeling "uneasy".|Not expected to happen|Paying close attention, alert|Feeling worried or anxious|Confident and certain|
19|Your story is very vivid and well written, but your villain is rather **stereotypical**.|archetypal|ludicrous|humorous|lacklustre|A|"Stereotypical" means fitting the usual idea of something, like being "archetypal".|Representing a typical, classic example|Absurd or ridiculous|Funny, causing laughter|Lacking energy or vitality|
20|The production of exquisite porcelain vases reached its **prime** during Ming dynasty China.|legend|destruction|origin|peak|D|Reaching your "prime" means being at your very best, like reaching the "peak".|A well-known story or famous person|The act of destroying something|The point where something begins|The best or highest point|
35|“The flavours **complement** one another very well,” the waiter agreed.|reject|thank|clash with|harmonise with|D|"Complement" means two things go well together, like they "harmonise with" each other.|To refuse to accept something|To express gratitude|To be in conflict or look bad together|To go well together|
36|I **abhor** bad handwriting, and I have spent years trying to make my own perfect.|see|forget|adore|hate|D|"Abhor" is a strong word for "hate".|To perceive with the eyes|To fail to remember|To love deeply|To dislike intensely|
37|We agreed that Zara could be **industrious**, but only if she put her mind to it.|talented|hardworking|strong|smart|B|"Industrious" means someone works hard, like being "hardworking".|Having a natural skill|Putting in a lot of effort and work|Having great physical power|Intelligent or clever|
38|Just then, the door creaked open, and a **monstrous** figure emerged from within...|horrible|hairy|gigantic|evil|A|"Monstrous" means something looks scary like a monster, like being "horrible".|Extremely unpleasant or frightening|Covered with hair|Extremely large in size|Morally wrong or wicked|
39|Lola was filled with **remorse** when she realised how many people would be affected.|help|pity|regret|emotion|C|"Remorse" means feeling sorry for doing something wrong, like "regret".|Assistance given to someone|A feeling of sympathy for someone's suffering|Sadness about something you have done wrong|A strong feeling in general|
40|Darren shuffled **furtively** towards the exit, hoping he wouldn’t be seen.|awkwardly|sensitively|noisily|secretively|D|"Furtively" means doing something quietly so no one notices, like "secretively".|In a clumsy, uncomfortable way|With care not to cause offence|Making a lot of noise|Quietly, trying not to be noticed|
41|“I will make an **exception** for you, of course,” the kindly prison guard winked.|exclusion|allowance|example|argument|B|Making an "exception" means breaking the usual rule just this once, like giving an "allowance".|The act of leaving something out|A special permission that breaks the usual rule|A typical instance of something|A disagreement or reasoning|
42|I am very well **versed** in the works of Shakespeare and can quote any play.|experienced|sung|rhythmic|certain|A|Being "versed" in something means you know a lot about it, like being "experienced".|Knowledgeable through practice or exposure|Performed vocally as music|Having a regular repeated pattern|Sure or definite about something|
43|The world is full of a vast **spectrum** of people from all walks of life.|pot|range|width|concept|B|A "spectrum" means a wide "range" of different things.|A round container|A wide variety of different things|The measurement across something|An abstract idea|
44|The room was sparsely decorated and **devoid** of any distinctive features.|distant|benefitting|growing|empty|D|"Devoid" means completely without something, like being "empty".|Far away|Gaining an advantage from something|Increasing in size or amount|Completely without something|
