Question_Num|Question|Option-A|Option-B|Option-C|Option-D|Answer|Explanation|
12|A rower rows at 8km/h for 2 hours, then at 6km/h for a further 3 hours. What is the total distance she travels?|(8 × 2) + (6 × 3)|(8 + 6) × (2 + 3)|(8 × 2) × (6 × 3)|(8 × 2) − (6 × 3)|A|Add the distance covered in each stage: (8 × 2) for the first part plus (6 × 3) for the second part.|
13|A bus travels at 35km/h for 2 hours, then at 20km/h for a further 4 hours. What is the total distance it travels?|(35 × 2) + (20 × 4)|(35 + 20) × (2 + 4)|(35 × 2) × (20 × 4)|(35 × 2) − (20 × 4)|A|Add the distance covered in each stage: (35 × 2) for the first part plus (20 × 4) for the second part.|
14|A cyclist cycles at 20km/h for 2 hours, then at 10km/h for a further 1 hour. What is her average speed for the whole journey (in km/h)?|[(20 × 2) + (10 × 1)] ÷ (2 + 1)|(20 + 10) ÷ (2 + 1)|[(20 × 2) + (10 × 1)] ÷ 2|[(20 × 2) + (10 × 1)] × (2 + 1)|A|Average speed = total distance ÷ total time — add the two distances, then divide by the total time of 2 + 1 hours.|
15|A jogger jogs at 9km/h for 1 hour, then at 6km/h for a further 2 hours. What is his average speed for the whole journey (in km/h)?|[(9 × 1) + (6 × 2)] ÷ (1 + 2)|(9 + 6) ÷ (1 + 2)|[(9 × 1) + (6 × 2)] ÷ 1|[(9 × 1) + (6 × 2)] × (1 + 2)|A|Average speed = total distance ÷ total time — add the two distances, then divide by the total time of 1 + 2 hours.|
16|A truck travels at 55km/h for 3 hours, then at 40km/h for a further 2 hours. What is its average speed for the whole journey (in km/h)?|[(55 × 3) + (40 × 2)] ÷ (3 + 2)|(55 + 40) ÷ (3 + 2)|[(55 × 3) + (40 × 2)] ÷ 3|[(55 × 3) + (40 × 2)] × (3 + 2)|A|Average speed = total distance ÷ total time — add the two distances, then divide by the total time of 3 + 2 hours.|
17|A skier skis at 25km/h for 2 hours, then at 15km/h for a further 3 hours. What is her average speed for the whole journey (in km/h)?|[(25 × 2) + (15 × 3)] ÷ (2 + 3)|(25 + 15) ÷ (2 + 3)|[(25 × 2) + (15 × 3)] ÷ 2|[(25 × 2) + (15 × 3)] × (2 + 3)|A|Average speed = total distance ÷ total time — add the two distances, then divide by the total time of 2 + 3 hours.|
18|A car drives 100km at 50km/h, then drives a further 60km at 40km/h. What is the car's average speed for the whole journey (in km/h)?|(100 + 60) ÷ (100/50 + 60/40)|(100 + 60) ÷ (50 + 40)|(100/50 + 60/40) ÷ (100 + 60)|(100 + 60) × (100/50 + 60/40)|A|Average speed = total distance ÷ total time — first find the time for each leg (100/50 and 60/40), then divide the total distance by their sum.|
19|A cyclist cycles 30km at 15km/h, then cycles a further 20km at 10km/h. What is her average speed for the whole journey (in km/h)?|(30 + 20) ÷ (30/15 + 20/10)|(30 + 20) ÷ (15 + 10)|(30/15 + 20/10) ÷ (30 + 20)|(30 + 20) × (30/15 + 20/10)|A|Average speed = total distance ÷ total time — first find the time for each leg (30/15 and 20/10), then divide the total distance by their sum.|
20|A ferry travels 90km at 30km/h, then travels a further 40km at 20km/h. What is its average speed for the whole journey (in km/h)?|(90 + 40) ÷ (90/30 + 40/20)|(90 + 40) ÷ (30 + 20)|(90/30 + 40/20) ÷ (90 + 40)|(90 + 40) × (90/30 + 40/20)|A|Average speed = total distance ÷ total time — first find the time for each leg (90/30 and 40/20), then divide the total distance by their sum.|
21|A jogger jogs 12km at 6km/h, then jogs a further 9km at 3km/h. What is his average speed for the whole journey (in km/h)?|(12 + 9) ÷ (12/6 + 9/3)|(12 + 9) ÷ (6 + 3)|(12/6 + 9/3) ÷ (12 + 9)|(12 + 9) × (12/6 + 9/3)|A|Average speed = total distance ÷ total time — first find the time for each leg (12/6 and 9/3), then divide the total distance by their sum.|
22|A hiker walks 10km at 5km/h, then rests for 15 minutes, then walks a further 6km at 3km/h. What is her average speed for the entire trip, including the rest (in km/h)?|(10 + 6) ÷ (10/5 + 15/60 + 6/3)|(10 + 6) ÷ (10/5 + 6/3)|(10 + 6) ÷ (5 + 15/60 + 3)|(10 + 6) × (10/5 + 15/60 + 6/3)|A|Average speed = total distance ÷ total time, and the total time must include the rest — add the walking time for each leg (10/5 and 6/3) plus the rest time (15/60 hours), then divide the total distance by this sum.|
23|A cyclist cycles 24km at 12km/h, then rests for 20 minutes, then cycles a further 10km at 5km/h. What is his average speed for the entire trip, including the rest (in km/h)?|(24 + 10) ÷ (24/12 + 20/60 + 10/5)|(24 + 10) ÷ (24/12 + 10/5)|(24 + 10) ÷ (12 + 20/60 + 5)|(24 + 10) × (24/12 + 20/60 + 10/5)|A|Average speed = total distance ÷ total time, and the total time must include the rest — add the cycling time for each leg (24/12 and 10/5) plus the rest time (20/60 hours), then divide the total distance by this sum.|
24|A walker walks 9km at 3km/h, then rests for 45 minutes, then walks a further 4km at 2km/h. What is her average speed for the entire trip, including the rest (in km/h)?|(9 + 4) ÷ (9/3 + 45/60 + 4/2)|(9 + 4) ÷ (9/3 + 4/2)|(9 + 4) ÷ (3 + 45/60 + 2)|(9 + 4) × (9/3 + 45/60 + 4/2)|A|Average speed = total distance ÷ total time, and the total time must include the rest — add the walking time for each leg (9/3 and 4/2) plus the rest time (45/60 hours), then divide the total distance by this sum.|
25|A runner runs 20km at 10km/h, then rests for 10 minutes, then runs a further 15km at 5km/h. What is his average speed for the entire trip, including the rest (in km/h)?|(20 + 15) ÷ (20/10 + 10/60 + 15/5)|(20 + 15) ÷ (20/10 + 15/5)|(20 + 15) ÷ (10 + 10/60 + 5)|(20 + 15) × (20/10 + 10/60 + 15/5)|A|Average speed = total distance ÷ total time, and the total time must include the rest — add the running time for each leg (20/10 and 15/5) plus the rest time (10/60 hours), then divide the total distance by this sum.|
26|Two trains start 300km apart and travel towards each other. One travels at 80km/h and the other at 70km/h. How long will it take them to meet?|300 ÷ (80 + 70)|300 ÷ (80 − 70)|300 × (80 + 70)|(80 + 70) ÷ 300|A|When two objects travel towards each other, they close the gap at the sum of their speeds — divide the distance between them by the sum of the speeds: 300 ÷ (80 + 70).|
27|Two swimmers start 50m apart in a pool and swim towards each other. One swims at 2m/s and the other at 3m/s. How long will it take them to meet?|50 ÷ (2 + 3)|50 ÷ (3 − 2)|50 × (2 + 3)|(2 + 3) ÷ 50|A|When two objects travel towards each other, they close the gap at the sum of their speeds — divide the distance between them by the sum of the speeds: 50 ÷ (2 + 3).|
28|Two hikers start 24km apart and walk towards each other. One walks at 5km/h and the other at 3km/h. How long will it take them to meet?|24 ÷ (5 + 3)|24 ÷ (5 − 3)|24 × (5 + 3)|(5 + 3) ÷ 24|A|When two objects travel towards each other, they close the gap at the sum of their speeds — divide the distance between them by the sum of the speeds: 24 ÷ (5 + 3).|
29|Two cars start 260km apart and drive towards each other. One drives at 55km/h and the other at 75km/h. How long will it take them to meet?|260 ÷ (55 + 75)|260 ÷ (75 − 55)|260 × (55 + 75)|(55 + 75) ÷ 260|A|When two objects travel towards each other, they close the gap at the sum of their speeds — divide the distance between them by the sum of the speeds: 260 ÷ (55 + 75).|
30|A cyclist is 6km behind a runner, both travelling in the same direction along the same road. The runner travels at 10km/h and the cyclist travels at 16km/h. How long will it take the cyclist to catch up with the runner?|6 ÷ (16 − 10)|6 ÷ (16 + 10)|6 × (16 − 10)|(16 − 10) ÷ 6|A|When one object chases another in the same direction, it closes the gap at the difference of their speeds — divide the distance behind by the difference of the speeds: 6 ÷ (16 − 10).|
31|A police car is 4km behind a speeding car, both travelling in the same direction along the same road. The speeding car travels at 90km/h and the police car travels at 110km/h. How long will it take the police car to catch up with the speeding car?|4 ÷ (110 − 90)|4 ÷ (110 + 90)|4 × (110 − 90)|(110 − 90) ÷ 4|A|When one object chases another in the same direction, it closes the gap at the difference of their speeds — divide the distance behind by the difference of the speeds: 4 ÷ (110 − 90).|
32|A boat is 15km behind another boat, both travelling in the same direction along the same river. The lead boat travels at 20km/h and the chasing boat travels at 35km/h. How long will it take the chasing boat to catch up?|15 ÷ (35 − 20)|15 ÷ (35 + 20)|15 × (35 − 20)|(35 − 20) ÷ 15|A|When one object chases another in the same direction, it closes the gap at the difference of their speeds — divide the distance behind by the difference of the speeds: 15 ÷ (35 − 20).|
33|A car is 8km behind a lorry, both travelling in the same direction along the same road. The lorry travels at 45km/h and the car travels at 65km/h. How long will it take the car to catch up with the lorry?|8 ÷ (65 − 45)|8 ÷ (65 + 45)|8 × (65 − 45)|(65 − 45) ÷ 8|A|When one object chases another in the same direction, it closes the gap at the difference of their speeds — divide the distance behind by the difference of the speeds: 8 ÷ (65 − 45).|
34|A train departs at 08:15 and arrives at 10:45, covering a distance of 150km. What is its average speed (in km/h)? (Hint: first find the journey time in hours)|150 ÷ (2 + 30/60)|150 ÷ (2 + 30/100)|150 × (2 + 30/60)|150 ÷ (3 + 30/60)|A|The journey from 08:15 to 10:45 takes 2 hours 30 minutes, written as 2 + 30/60 hours — divide the distance by this time: 150 ÷ (2 + 30/60).|
35|A bus departs at 14:05 and arrives at 15:35, covering a distance of 60km. What is its average speed (in km/h)? (Hint: first find the journey time in hours)|60 ÷ (1 + 30/60)|60 ÷ (1 + 30/100)|60 × (1 + 30/60)|60 ÷ (2 + 30/60)|A|The journey from 14:05 to 15:35 takes 1 hour 30 minutes, written as 1 + 30/60 hours — divide the distance by this time: 60 ÷ (1 + 30/60).|
36|A ferry departs at 07:50 and arrives at 11:20, covering a distance of 175km. What is its average speed (in km/h)? (Hint: first find the journey time in hours)|175 ÷ (3 + 30/60)|175 ÷ (3 + 30/100)|175 × (3 + 30/60)|175 ÷ (4 + 30/60)|A|The journey from 07:50 to 11:20 takes 3 hours 30 minutes, written as 3 + 30/60 hours — divide the distance by this time: 175 ÷ (3 + 30/60).|
37|A coach departs at 09:40 and arrives at 12:55, covering a distance of 195km. What is its average speed (in km/h)? (Hint: first find the journey time in hours)|195 ÷ (3 + 15/60)|195 ÷ (3 + 15/100)|195 × (3 + 15/60)|195 ÷ (4 + 15/60)|A|The journey from 09:40 to 12:55 takes 3 hours 15 minutes, written as 3 + 15/60 hours — divide the distance by this time: 195 ÷ (3 + 15/60).|
38|A cargo ship travels a distance of 240km in x hours, at a speed of 30km/h. Which equation would you use to find x?|30 × x = 240|x ÷ 30 = 240|240 × x = 30|30 ÷ x = 240|A|Distance = speed × time, so speed × x equals the distance — set up the equation: 30 × x = 240.|
39|A train covers a distance of 350km in 5 hours, at a speed of x km/h. Which equation would you use to find x?|x × 5 = 350|5 ÷ x = 350|350 × 5 = x|x ÷ 5 = 350|A|Distance = speed × time, so x × time equals the distance — set up the equation: x × 5 = 350.|
40|A car travels for 4 hours at 60km/h, covering a distance of x km. Which equation would you use to find x?|60 × 4 = x|x ÷ 60 = 4|60 ÷ 4 = x|4 ÷ 60 = x|A|Distance = speed × time, so multiplying the speed by the time gives x — set up the equation: 60 × 4 = x.|
41|A cyclist travels a distance of 84km in x hours, at a speed of 21km/h. Which equation would you use to find x?|21 × x = 84|x ÷ 21 = 84|84 × x = 21|21 ÷ x = 84|A|Distance = speed × time, so speed × x equals the distance — set up the equation: 21 × x = 84.|
42|It takes Maya 30 minutes to cycle to school, a distance of 6km. If she runs instead, it takes her 12 minutes longer. What is the difference between the average speed of cycling and running?|[6 ÷ (30/60)] − [6 ÷ (42/60)]|[6 ÷ (42/60)] − [6 ÷ (30/60)]|6 ÷ [(42/60) − (30/60)]|[6 ÷ (30/60)] + [6 ÷ (42/60)]|A|Running takes 30 + 12 = 42 minutes, so find each speed separately (distance ÷ time in hours), then subtract the running speed from the cycling speed: [6 ÷ (30/60)] − [6 ÷ (42/60)].|
43|It takes Sam 20 minutes to drive to the station, a distance of 15km. If he walks the same distance, it takes him 40 minutes longer. What is the difference between the average speed of driving and walking?|[15 ÷ (20/60)] − [15 ÷ (60/60)]|[15 ÷ (60/60)] − [15 ÷ (20/60)]|15 ÷ [(60/60) − (20/60)]|[15 ÷ (20/60)] + [15 ÷ (60/60)]|A|Walking takes 20 + 40 = 60 minutes, so find each speed separately (distance ÷ time in hours), then subtract the walking speed from the driving speed: [15 ÷ (20/60)] − [15 ÷ (60/60)].|
44|It takes Priya 50 minutes to get to work by bus, a distance of 18km. If she cycles the same distance instead, she arrives 20 minutes earlier. What is the difference between the average speed of cycling and the bus?|[18 ÷ (30/60)] − [18 ÷ (50/60)]|[18 ÷ (50/60)] − [18 ÷ (30/60)]|18 ÷ [(50/60) − (30/60)]|[18 ÷ (30/60)] + [18 ÷ (50/60)]|A|Cycling takes 50 − 20 = 30 minutes, so find each speed separately (distance ÷ time in hours), then subtract the bus's speed from the cycling speed: [18 ÷ (30/60)] − [18 ÷ (50/60)].|
45|It takes Jack 55 minutes to walk into town, a distance of 4km. If he cycles the same distance instead, he arrives 40 minutes earlier. What is the difference between the average speed of cycling and walking?|[4 ÷ (15/60)] − [4 ÷ (55/60)]|[4 ÷ (55/60)] − [4 ÷ (15/60)]|4 ÷ [(55/60) − (15/60)]|[4 ÷ (15/60)] + [4 ÷ (55/60)]|A|Cycling takes 55 − 40 = 15 minutes, so find each speed separately (distance ÷ time in hours), then subtract the walking speed from the cycling speed: [4 ÷ (15/60)] − [4 ÷ (55/60)].|
46|A courier drives 40km to a warehouse at 80km/h, then drives the same 40km back at 50km/h. What is her average speed for the whole round trip (in km/h)?|(40 + 40) ÷ (40/80 + 40/50)|(40 + 40) ÷ (80 + 50)|(40/80 + 40/50) ÷ (40 + 40)|(40 + 40) × (40/80 + 40/50)|A|Average speed = total distance ÷ total time — first find the time for each leg (40/80 and 40/50), then divide the total distance (40 + 40) by their sum.|
47|A cyclist and a jogger start at the same point and travel in opposite directions along a straight road, the cyclist at 22km/h and the jogger at 8km/h. How far apart will they be after 3 hours?|(22 + 8) × 3|(22 + 8) ÷ 3|(22 × 8) × 3|(22 − 8) × 3|A|Travelling in opposite directions from the same point, the distance between them grows at the sum of their speeds — multiply the sum of the speeds by the time: (22 + 8) × 3.|
48|A cheetah runs 100 metres in 4 seconds. What is its speed in km/h? (Hint: first find the speed in m/s, then convert using 1 m/s = 3.6 km/h)|(100/4) × 3.6|(100/4) ÷ 3.6|(100 × 4) × 3.6|(100/4) × 3600|A|First find the speed in m/s (100 ÷ 4), then convert to km/h by multiplying by 3.6, since 1 m/s = 3.6 km/h: (100 ÷ 4) × 3.6.|
49|A plane departs at 06:30 and arrives at 09:00, flying at an average speed of 480km/h. What distance does it cover? (Hint: first find the journey time in hours)|480 × (2 + 30/60)|480 ÷ (2 + 30/60)|480 × (2 + 30/100)|480 × (3 + 30/60)|A|The journey from 06:30 to 09:00 takes 2 hours 30 minutes, written as 2 + 30/60 hours — distance = speed × time, so multiply the speed by this time: 480 × (2 + 30/60).|
50|A cyclist sets off from a junction at 8km/h. One hour later, a car sets off from the same junction along the same road at 48km/h, chasing the cyclist. How long after the car sets off will it catch up with the cyclist? (Hint: first find how far ahead the cyclist is when the car starts)|(8 × 1) ÷ (48 − 8)|8 ÷ (48 − 8)|(8 × 1) ÷ (48 + 8)|(8 + 1) ÷ (48 − 8)|A|The cyclist is already 8 × 1 = 8km ahead when the car sets off, and the car closes the gap at the difference of their speeds — divide this head-start distance by the difference of the speeds: (8 × 1) ÷ (48 − 8).|
