Question_Num|Question|Option-A|Option-B|Option-C|Option-D|Answer|Explanation|
11|Jimmy bakes 25 croissants, 40 cinnamon rolls, and 20 pain-aux-raisins one morning. By the afternoon, he has sold a fifth of his croissants, half of his cinnamon rolls, and a quarter of his pain-aux-raisins. What fraction of the baked goods he has left now are croissants?|(25 × 4/5) ÷ (25 × 4/5 + 40 × 1/2 + 20 × 3/4)|20 × 3/4 ÷ (25 × 4/5 + 40 × 1/2 + 20 × 3/4)|(25 × 4/5) ÷ (25 + 40 + 20)|25 ÷ (25 × 4/5 + 40 × 1/2 + 20 × 3/4)|A|By the given time, croissants have 4/5 left, cinnamon rolls have 1/2 left, and pain-aux-raisins have 3/4 left. The fraction that is croissants is the amount of croissants remaining divided by the total remaining: (25 × 4/5) ÷ (25 × 4/5 + 40 × 1/2 + 20 × 3/4).|
12|A market stall starts the day with 30 apples, 24 bananas, and 36 oranges. By closing time, a third of the apples, three-quarters of the bananas, and half of the oranges have been sold. What fraction of the fruit left is bananas?|(24 × 1/4) ÷ (30 × 2/3 + 24 × 1/4 + 36 × 1/2)|30 × 2/3 ÷ (30 × 2/3 + 24 × 1/4 + 36 × 1/2)|(24 × 1/4) ÷ (30 + 24 + 36)|24 ÷ (30 × 2/3 + 24 × 1/4 + 36 × 1/2)|A|By the given time, apples have 2/3 left, bananas have 1/4 left, and oranges have 1/2 left. The fraction that is bananas is the amount of bananas remaining divided by the total remaining: (24 × 1/4) ÷ (30 × 2/3 + 24 × 1/4 + 36 × 1/2).|
13|An office starts the week with 50 pens, 20 notebooks, and 15 staplers in stock. By Friday, two-fifths of the pens, a quarter of the notebooks, and a third of the staplers have been used. What fraction of the remaining stock is notebooks?|(20 × 3/4) ÷ (50 × 3/5 + 20 × 3/4 + 15 × 2/3)|50 × 3/5 ÷ (50 × 3/5 + 20 × 3/4 + 15 × 2/3)|(20 × 3/4) ÷ (50 + 20 + 15)|20 ÷ (50 × 3/5 + 20 × 3/4 + 15 × 2/3)|A|By the given time, pens have 3/5 left, notebooks have 3/4 left, and staplers have 2/3 left. The fraction that is notebooks is the amount of notebooks remaining divided by the total remaining: (20 × 3/4) ÷ (50 × 3/5 + 20 × 3/4 + 15 × 2/3).|
14|A flower shop opens with 60 roses, 48 tulips, and 32 lilies. By evening, half the roses, a sixth of the tulips, and three-quarters of the lilies have been sold. What fraction of the flowers left in the shop are roses?|(60 × 1/2) ÷ (60 × 1/2 + 48 × 5/6 + 32 × 1/4)|48 × 5/6 ÷ (60 × 1/2 + 48 × 5/6 + 32 × 1/4)|(60 × 1/2) ÷ (60 + 48 + 32)|60 ÷ (60 × 1/2 + 48 × 5/6 + 32 × 1/4)|A|By the given time, roses have 1/2 left, tulips have 5/6 left, and lilies have 1/4 left. The fraction that is roses is the amount of roses remaining divided by the total remaining: (60 × 1/2) ÷ (60 × 1/2 + 48 × 5/6 + 32 × 1/4).|
15|A bookstore starts the month with 80 novels, 45 comics, and 30 magazines. By the end of the month, a quarter of the novels, two-thirds of the comics, and a fifth of the magazines have sold. What fraction of the remaining books and magazines are comics?|(45 × 1/3) ÷ (80 × 3/4 + 45 × 1/3 + 30 × 4/5)|80 × 3/4 ÷ (80 × 3/4 + 45 × 1/3 + 30 × 4/5)|(45 × 1/3) ÷ (80 + 45 + 30)|45 ÷ (80 × 3/4 + 45 × 1/3 + 30 × 4/5)|A|By the given time, novels have 3/4 left, comics have 1/3 left, and magazines have 4/5 left. The fraction that is comics is the amount of comics remaining divided by the total remaining: (45 × 1/3) ÷ (80 × 3/4 + 45 × 1/3 + 30 × 4/5).|
16|A bakery stall bakes 36 muffins, 28 scones, and 16 tarts one morning. By lunchtime, a third of the muffins, a quarter of the scones, and three-quarters of the tarts have sold. What fraction of the baked goods left are tarts?|(16 × 1/4) ÷ (36 × 2/3 + 28 × 3/4 + 16 × 1/4)|36 × 2/3 ÷ (36 × 2/3 + 28 × 3/4 + 16 × 1/4)|(16 × 1/4) ÷ (36 + 28 + 16)|16 ÷ (36 × 2/3 + 28 × 3/4 + 16 × 1/4)|A|By the given time, muffins have 2/3 left, scones have 3/4 left, and tarts have 1/4 left. The fraction that is tarts is the amount of tarts remaining divided by the total remaining: (16 × 1/4) ÷ (36 × 2/3 + 28 × 3/4 + 16 × 1/4).|
17|A toy shop stocks 40 puzzles, 50 board games, and 30 dolls before a sale. By closing, a fifth of the puzzles, two-fifths of the board games, and a tenth of the dolls have been sold. What fraction of the remaining toys are puzzles?|(40 × 4/5) ÷ (40 × 4/5 + 50 × 3/5 + 30 × 9/10)|50 × 3/5 ÷ (40 × 4/5 + 50 × 3/5 + 30 × 9/10)|(40 × 4/5) ÷ (40 + 50 + 30)|40 ÷ (40 × 4/5 + 50 × 3/5 + 30 × 9/10)|A|By the given time, puzzles have 4/5 left, board games have 3/5 left, and dolls have 9/10 left. The fraction that is puzzles is the amount of puzzles remaining divided by the total remaining: (40 × 4/5) ÷ (40 × 4/5 + 50 × 3/5 + 30 × 9/10).|
18|A greengrocer starts with 45 carrots, 36 potatoes, and 27 onions. By the end of the day, two-thirds of the carrots, a quarter of the potatoes, and a third of the onions have been sold. What fraction of the remaining vegetables are potatoes?|(36 × 3/4) ÷ (45 × 1/3 + 36 × 3/4 + 27 × 2/3)|45 × 1/3 ÷ (45 × 1/3 + 36 × 3/4 + 27 × 2/3)|(36 × 3/4) ÷ (45 + 36 + 27)|36 ÷ (45 × 1/3 + 36 × 3/4 + 27 × 2/3)|A|By the given time, carrots have 1/3 left, potatoes have 3/4 left, and onions have 2/3 left. The fraction that is potatoes is the amount of potatoes remaining divided by the total remaining: (36 × 3/4) ÷ (45 × 1/3 + 36 × 3/4 + 27 × 2/3).|
19|A stationery stall packs 60 rulers, 40 erasers, and 20 sharpeners for a school fair. By the afternoon, a tenth of the rulers, three-quarters of the erasers, and half of the sharpeners have been sold. What fraction of the remaining items are erasers?|(40 × 1/4) ÷ (60 × 9/10 + 40 × 1/4 + 20 × 1/2)|60 × 9/10 ÷ (60 × 9/10 + 40 × 1/4 + 20 × 1/2)|(40 × 1/4) ÷ (60 + 40 + 20)|40 ÷ (60 × 9/10 + 40 × 1/4 + 20 × 1/2)|A|By the given time, rulers have 9/10 left, erasers have 1/4 left, and sharpeners have 1/2 left. The fraction that is erasers is the amount of erasers remaining divided by the total remaining: (40 × 1/4) ÷ (60 × 9/10 + 40 × 1/4 + 20 × 1/2).|
20|A bakery bakes 50 baguettes, 30 brioches, and 40 bagels one morning. By closing, a fifth of the baguettes, a third of the brioches, and half of the bagels have sold. What fraction of the baked goods left are baguettes?|(50 × 4/5) ÷ (50 × 4/5 + 30 × 2/3 + 40 × 1/2)|30 × 2/3 ÷ (50 × 4/5 + 30 × 2/3 + 40 × 1/2)|(50 × 4/5) ÷ (50 + 30 + 40)|50 ÷ (50 × 4/5 + 30 × 2/3 + 40 × 1/2)|A|By the given time, baguettes have 4/5 left, brioches have 2/3 left, and bagels have 1/2 left. The fraction that is baguettes is the amount of baguettes remaining divided by the total remaining: (50 × 4/5) ÷ (50 × 4/5 + 30 × 2/3 + 40 × 1/2).|
21|My local supermarket has started doing a meal deal. I can purchase a drink, a sandwich and a bag of crisps for £5. For lunch, I usually buy a bagel and a coffee for £8. What percentage of the cost of my usual lunch would I spend on a meal deal?|5 ÷ 8 × 100|8 ÷ 5 × 100|(8 − 5) ÷ 8 × 100|5 ÷ 8|A|To express the deal price as a percentage of the usual price, divide the deal price by the usual price and multiply by 100: 5 ÷ 8 × 100.|
22|A gym offers a starter bundle — mat, water bottle, and towel — for £18. Buying the same three items separately would normally cost £30. What percentage of the separate price does the bundle cost?|18 ÷ 30 × 100|30 ÷ 18 × 100|(30 − 18) ÷ 30 × 100|18 ÷ 30|A|To express the deal price as a percentage of the usual price, divide the deal price by the usual price and multiply by 100: 18 ÷ 30 × 100.|
23|A cinema offers a combo of a ticket, popcorn, and a drink for £12. Buying them one at a time would cost £20. What percentage of the individual prices does the combo cost?|12 ÷ 20 × 100|20 ÷ 12 × 100|(20 − 12) ÷ 20 × 100|12 ÷ 20|A|To express the deal price as a percentage of the usual price, divide the deal price by the usual price and multiply by 100: 12 ÷ 20 × 100.|
24|A phone plan bundle including calls, texts, and data costs £15 a month. Paying for each separately would cost £25. What percentage of the pay-as-you-go cost does the bundle represent?|15 ÷ 25 × 100|25 ÷ 15 × 100|(25 − 15) ÷ 25 × 100|15 ÷ 25|A|To express the deal price as a percentage of the usual price, divide the deal price by the usual price and multiply by 100: 15 ÷ 25 × 100.|
25|A café's breakfast set — juice, toast, and eggs — costs £7. Ordering the same three items separately costs £10. What percentage of the à la carte price is the breakfast set?|7 ÷ 10 × 100|10 ÷ 7 × 100|(10 − 7) ÷ 10 × 100|7 ÷ 10|A|To express the deal price as a percentage of the usual price, divide the deal price by the usual price and multiply by 100: 7 ÷ 10 × 100.|
26|A streaming bundle with music, video, and cloud storage costs £9 a month. Subscribing to each service separately would cost £15. What percentage of the separate subscriptions does the bundle cost?|9 ÷ 15 × 100|15 ÷ 9 × 100|(15 − 9) ÷ 15 × 100|9 ÷ 15|A|To express the deal price as a percentage of the usual price, divide the deal price by the usual price and multiply by 100: 9 ÷ 15 × 100.|
27|A theme park family pass for entry, a meal, and a locker costs £40. Paying separately for entry, the meal, and the locker would cost £50. What percentage of the separate cost is the family pass?|40 ÷ 50 × 100|50 ÷ 40 × 100|(50 − 40) ÷ 50 × 100|40 ÷ 50|A|To express the deal price as a percentage of the usual price, divide the deal price by the usual price and multiply by 100: 40 ÷ 50 × 100.|
28|A hair salon package of a cut, wash, and blow-dry costs £24. Booking each service separately would cost £40. What percentage of the separate prices does the package cost?|24 ÷ 40 × 100|40 ÷ 24 × 100|(40 − 24) ÷ 40 × 100|24 ÷ 40|A|To express the deal price as a percentage of the usual price, divide the deal price by the usual price and multiply by 100: 24 ÷ 40 × 100.|
29|A train season ticket costs £90 a month. Buying single tickets for the same journeys every day would cost £150. What percentage of the single-ticket cost is the season ticket?|90 ÷ 150 × 100|150 ÷ 90 × 100|(150 − 90) ÷ 150 × 100|90 ÷ 150|A|To express the deal price as a percentage of the usual price, divide the deal price by the usual price and multiply by 100: 90 ÷ 150 × 100.|
30|A stationery bundle of a notebook, pen, and folder costs £6. Buying the three items separately costs £8. What percentage of the separate price is the bundle?|6 ÷ 8 × 100|8 ÷ 6 × 100|(8 − 6) ÷ 8 × 100|6 ÷ 8|A|To express the deal price as a percentage of the usual price, divide the deal price by the usual price and multiply by 100: 6 ÷ 8 × 100.|
31|The probability of Sanam winning a tennis match is 4/7. If he plays 63 games, how many would he expect to lose?|63 × 3/7|63 × 4/7|63 ÷ 3/7|63 × 7/3|A|The probability of losing is 3/7 (since 4/7 is the probability of winning). Over 63 games, the expected number of losses is 63 × 3/7.|
32|A basketball player makes a free throw with probability 5/8. If she takes 40 free throws, how many would she expect to miss?|40 × 3/8|40 × 5/8|40 ÷ 3/8|40 × 8/3|A|The probability of losing is 3/8 (since 5/8 is the probability of winning). Over 40 games, the expected number of losses is 40 × 3/8.|
33|The probability of a certain dice game ending in a win is 2/9. If it is played 45 times, how many games would you expect to lose?|45 × 7/9|45 × 2/9|45 ÷ 7/9|45 × 9/7|A|The probability of losing is 7/9 (since 2/9 is the probability of winning). Over 45 games, the expected number of losses is 45 × 7/9.|
34|A card player wins a round with probability 3/10. If they play 50 rounds, how many rounds would they expect to lose?|50 × 7/10|50 × 3/10|50 ÷ 7/10|50 × 10/7|A|The probability of losing is 7/10 (since 3/10 is the probability of winning). Over 50 games, the expected number of losses is 50 × 7/10.|
35|A chess player wins a game with probability 7/12. Over 36 games, how many would they expect to lose?|36 × 5/12|36 × 7/12|36 ÷ 5/12|36 × 12/5|A|The probability of losing is 5/12 (since 7/12 is the probability of winning). Over 36 games, the expected number of losses is 36 × 5/12.|
36|The probability of a penalty kick being scored is 5/6. Out of 48 penalty kicks, how many would you expect to be missed?|48 × 1/6|48 × 5/6|48 ÷ 1/6|48 × 6/1|A|The probability of losing is 1/6 (since 5/6 is the probability of winning). Over 48 games, the expected number of losses is 48 × 1/6.|
37|A goalkeeper saves a penalty with probability 3/8. Out of 64 penalties, how many would you expect the goalkeeper to fail to save?|64 × 5/8|64 × 3/8|64 ÷ 5/8|64 × 8/5|A|The probability of losing is 5/8 (since 3/8 is the probability of winning). Over 64 games, the expected number of losses is 64 × 5/8.|
38|The probability of a spinner landing on blue is 5/9. If it is spun 54 times, how many times would you expect it not to land on blue?|54 × 4/9|54 × 5/9|54 ÷ 4/9|54 × 9/4|A|The probability of losing is 4/9 (since 5/9 is the probability of winning). Over 54 games, the expected number of losses is 54 × 4/9.|
39|A quiz contestant answers a question correctly with probability 7/11. Over 55 questions, how many would they expect to get wrong?|55 × 4/11|55 × 7/11|55 ÷ 4/11|55 × 11/4|A|The probability of losing is 4/11 (since 7/11 is the probability of winning). Over 55 games, the expected number of losses is 55 × 4/11.|
40|The probability of a bus arriving on time is 9/13. Out of 65 bus arrivals, how many would you expect to be late?|65 × 4/13|65 × 9/13|65 ÷ 4/13|65 × 13/4|A|The probability of losing is 4/13 (since 9/13 is the probability of winning). Over 65 games, the expected number of losses is 65 × 4/13.|
41|In a retirement home in Sussex, 27 residents use walking sticks and 45 residents wear spectacles. A third of the total residents use walking sticks, and a third of those who use walking sticks also wear spectacles. How many residents use neither walking sticks nor spectacles?|(27 ÷ 1/3) − 27 − (45 − 27 × 1/3)|(27 ÷ 1/3) − 27 − 45|(27 ÷ 1/3) − (45 − 27 × 1/3)|27 + 45 − 27 × 1/3|A|Since 27 is 1/3 of everyone, the total is 27 ÷ 1/3. Of the 27, 1/3 also belong to the second group, so both = 27 × 1/3; subtracting that from 45 gives the number in the second group only. Neither group is the total minus the first group minus the second-group-only count: (27 ÷ 1/3) − 27 − (45 − 27 × 1/3).|
42|At a library, 30 members borrow fiction books and 80 members borrow non-fiction books. A fifth of all members borrow fiction, and two-fifths of the fiction borrowers also borrow non-fiction. How many members borrow neither fiction nor non-fiction?|(30 ÷ 1/5) − 30 − (80 − 30 × 2/5)|(30 ÷ 1/5) − 30 − 80|(30 ÷ 1/5) − (80 − 30 × 2/5)|30 + 80 − 30 × 2/5|A|Since 30 is 1/5 of everyone, the total is 30 ÷ 1/5. Of the 30, 2/5 also belong to the second group, so both = 30 × 2/5; subtracting that from 80 gives the number in the second group only. Neither group is the total minus the first group minus the second-group-only count: (30 ÷ 1/5) − 30 − (80 − 30 × 2/5).|
43|At a gym, 40 members use the weights room and 55 members use the cardio room. Two-fifths of all members use the weights room, and a quarter of those who use weights also use cardio. How many members use neither the weights room nor the cardio room?|(40 ÷ 2/5) − 40 − (55 − 40 × 1/4)|(40 ÷ 2/5) − 40 − 55|(40 ÷ 2/5) − (55 − 40 × 1/4)|40 + 55 − 40 × 1/4|A|Since 40 is 2/5 of everyone, the total is 40 ÷ 2/5. Of the 40, 1/4 also belong to the second group, so both = 40 × 1/4; subtracting that from 55 gives the number in the second group only. Neither group is the total minus the first group minus the second-group-only count: (40 ÷ 2/5) − 40 − (55 − 40 × 1/4).|
44|In a school year group, 18 students play chess and 50 students play checkers. A sixth of the year group plays chess, and a third of the chess players also play checkers. How many students play neither chess nor checkers?|(18 ÷ 1/6) − 18 − (50 − 18 × 1/3)|(18 ÷ 1/6) − 18 − 50|(18 ÷ 1/6) − (50 − 18 × 1/3)|18 + 50 − 18 × 1/3|A|Since 18 is 1/6 of everyone, the total is 18 ÷ 1/6. Of the 18, 1/3 also belong to the second group, so both = 18 × 1/3; subtracting that from 50 gives the number in the second group only. Neither group is the total minus the first group minus the second-group-only count: (18 ÷ 1/6) − 18 − (50 − 18 × 1/3).|
45|Among a group of commuters, 21 cycle to work and 90 drive to work. A seventh of all commuters cycle, and a third of the cyclists also drive on some days. How many commuters neither cycle nor drive?|(21 ÷ 1/7) − 21 − (90 − 21 × 1/3)|(21 ÷ 1/7) − 21 − 90|(21 ÷ 1/7) − (90 − 21 × 1/3)|21 + 90 − 21 × 1/3|A|Since 21 is 1/7 of everyone, the total is 21 ÷ 1/7. Of the 21, 1/3 also belong to the second group, so both = 21 × 1/3; subtracting that from 90 gives the number in the second group only. Neither group is the total minus the first group minus the second-group-only count: (21 ÷ 1/7) − 21 − (90 − 21 × 1/3).|
46|At a conference, 32 attendees visited the tech booth and 70 visited the finance booth. A quarter of all attendees visited the tech booth, and half of the tech-booth visitors also visited the finance booth. How many attendees visited neither booth?|(32 ÷ 1/4) − 32 − (70 − 32 × 1/2)|(32 ÷ 1/4) − 32 − 70|(32 ÷ 1/4) − (70 − 32 × 1/2)|32 + 70 − 32 × 1/2|A|Since 32 is 1/4 of everyone, the total is 32 ÷ 1/4. Of the 32, 1/2 also belong to the second group, so both = 32 × 1/2; subtracting that from 70 gives the number in the second group only. Neither group is the total minus the first group minus the second-group-only count: (32 ÷ 1/4) − 32 − (70 − 32 × 1/2).|
47|In an office, 24 employees drive to work and 60 employees take public transport. A fifth of all employees drive, and a quarter of the drivers also take public transport on other days. How many employees neither drive nor take public transport?|(24 ÷ 1/5) − 24 − (60 − 24 × 1/4)|(24 ÷ 1/5) − 24 − 60|(24 ÷ 1/5) − (60 − 24 × 1/4)|24 + 60 − 24 × 1/4|A|Since 24 is 1/5 of everyone, the total is 24 ÷ 1/5. Of the 24, 1/4 also belong to the second group, so both = 24 × 1/4; subtracting that from 60 gives the number in the second group only. Neither group is the total minus the first group minus the second-group-only count: (24 ÷ 1/5) − 24 − (60 − 24 × 1/4).|
48|At a museum, 36 visitors joined the art tour and 90 visitors joined the history tour. A quarter of all visitors joined the art tour, and a third of the art-tour visitors also joined the history tour. How many visitors joined neither tour?|(36 ÷ 1/4) − 36 − (90 − 36 × 1/3)|(36 ÷ 1/4) − 36 − 90|(36 ÷ 1/4) − (90 − 36 × 1/3)|36 + 90 − 36 × 1/3|A|Since 36 is 1/4 of everyone, the total is 36 ÷ 1/4. Of the 36, 1/3 also belong to the second group, so both = 36 × 1/3; subtracting that from 90 gives the number in the second group only. Neither group is the total minus the first group minus the second-group-only count: (36 ÷ 1/4) − 36 − (90 − 36 × 1/3).|
49|Among a group of gardeners, 16 grow tomatoes and 42 grow peppers. An eighth of all gardeners grow tomatoes, and a quarter of the tomato growers also grow peppers. How many gardeners grow neither tomatoes nor peppers?|(16 ÷ 1/8) − 16 − (42 − 16 × 1/4)|(16 ÷ 1/8) − 16 − 42|(16 ÷ 1/8) − (42 − 16 × 1/4)|16 + 42 − 16 × 1/4|A|Since 16 is 1/8 of everyone, the total is 16 ÷ 1/8. Of the 16, 1/4 also belong to the second group, so both = 16 × 1/4; subtracting that from 42 gives the number in the second group only. Neither group is the total minus the first group minus the second-group-only count: (16 ÷ 1/8) − 16 − (42 − 16 × 1/4).|
50|At a swimming club, 20 members compete in freestyle and 48 compete in backstroke. A ninth of all members compete in freestyle, and a fifth of the freestyle swimmers also compete in backstroke. How many members compete in neither freestyle nor backstroke?|(20 ÷ 1/9) − 20 − (48 − 20 × 1/5)|(20 ÷ 1/9) − 20 − 48|(20 ÷ 1/9) − (48 − 20 × 1/5)|20 + 48 − 20 × 1/5|A|Since 20 is 1/9 of everyone, the total is 20 ÷ 1/9. Of the 20, 1/5 also belong to the second group, so both = 20 × 1/5; subtracting that from 48 gives the number in the second group only. Neither group is the total minus the first group minus the second-group-only count: (20 ÷ 1/9) − 20 − (48 − 20 × 1/5).|
