Question_Num|Question|Option-A|Option-B|Option-C|Option-D|Answer|Explanation|
21|A canteen sells juice for £1.80 each, and a smoothie costs 25% more than a juice. Staff buy 8 juices and 5 smoothies, with a 10% staff discount on the whole order. How much money is saved thanks to the discount?|(1.8 × 8 + 1.8 × 5 × 125/100) × 90/100|(1.8 × 8 + 1.8 × 5 × 75/100) × 10/100|(1.8 × 8 + 1.8 × 5 × 125/100) × 10/100|1.8 × (8 + 5) × 10/100|C|First find the full order price before any discount: 1.8 × 8 + 1.8 × 5 × 125/100; the 10% discount then saves 10% of that whole order: (1.8 × 8 + 1.8 × 5 × 125/100) × 10/100.|
22|A stationery shop sells notebooks for £3 each, and a pencil case costs 1/3 less than a notebook. Priya orders 15 notebooks and 9 pencil cases, and a loyalty card gives 1/6 off the total. How much does Priya save?|3 × (15 + 9) × 1/6|(3 × 15 + 3 × 9 × 2/3) × 5/6|(3 × 15 + 3 × 9 × 4/3) × 1/6|(3 × 15 + 3 × 9 × 2/3) × 1/6|D|First find the full order price before any discount: 3 × 15 + 3 × 9 × 2/3; the 1/6 discount then saves 1/6 of that whole order: (3 × 15 + 3 × 9 × 2/3) × 1/6.|
23|A t-shirt costs £14, and a hoodie costs 70% more than a t-shirt. A shop sells 6 t-shirts and 4 hoodies as a bundle with an 18% discount. How much money is saved compared to paying full price for everything?|(14 × 6 + 14 × 4 × 170/100) × 18/100|(14 × 6 + 14 × 4 × 170/100) × 82/100|(14 × 6 + 14 × 4 × 30/100) × 18/100|14 × (6 + 4) × 18/100|A|First find the full order price before any discount: 14 × 6 + 14 × 4 × 170/100; the 18% discount then saves 18% of that whole order: (14 × 6 + 14 × 4 × 170/100) × 18/100.|
24|A gift shop sells candles for £5 each, and a diffuser costs 1/2 more than a candle. A bundle of 7 candles and 3 diffusers gets a 1/10 discount. How much money is saved thanks to the bundle discount?|5 × (7 + 3) × 1/10|(5 × 7 + 5 × 3 × 3/2) × 9/10|(5 × 7 + 5 × 3 × 1/2) × 1/10|(5 × 7 + 5 × 3 × 3/2) × 1/10|D|First find the full order price before any discount: 5 × 7 + 5 × 3 × 3/2; the 1/10 discount then saves 1/10 of that whole order: (5 × 7 + 5 × 3 × 3/2) × 1/10.|
25|A wardrobe costs £x. A chest of drawers costs 20% more than the wardrobe. Buying both together with a 10% discount on the combined price costs £396 in total. Which calculation gives x, the original price of the wardrobe?|396 ÷ (1 + 120/100)|396 ÷ 90/100|396 ÷ ((1 + 120/100) × 90/100)|396 ÷ ((1 + 80/100) × 90/100)|C|Together they cost x × (1 + 120/100), and after the 10% discount that becomes x × (1 + 120/100) × 90/100 = 396; dividing both sides by (1 + 120/100) × 90/100 gives x: 396 ÷ ((1 + 120/100) × 90/100).|
26|A smartphone costs £x. A phone case costs 40% less than the smartphone. Buying both together with a 15% discount on the combined price costs £408 in total. Which calculation gives x, the original price of the smartphone?|408 ÷ (1 + 60/100)|408 ÷ 85/100|408 ÷ ((1 + 140/100) × 85/100)|408 ÷ ((1 + 60/100) × 85/100)|D|Together they cost x × (1 + 60/100), and after the 15% discount that becomes x × (1 + 60/100) × 85/100 = 408; dividing both sides by (1 + 60/100) × 85/100 gives x: 408 ÷ ((1 + 60/100) × 85/100).|
27|A surfboard costs £x. A wetsuit costs 1/4 more than the surfboard. Buying both together with a 1/8 discount off the combined price costs £315 in total. Which calculation gives x, the original price of the surfboard?|315 ÷ ((1 + 5/4) × 7/8)|315 ÷ 7/8|315 ÷ (1 + 5/4)|315 ÷ ((1 + 3/4) × 7/8)|A|Together they cost x × (1 + 5/4), and after the 1/8 discount that becomes x × (1 + 5/4) × 7/8 = 315; dividing both sides by (1 + 5/4) × 7/8 gives x: 315 ÷ ((1 + 5/4) × 7/8).|
28|A bookcase costs £x. A matching side table costs 1/5 less than the bookcase. Buying both together with a 1/10 discount off the combined price costs £405 in total. Which calculation gives x, the original price of the bookcase?|405 ÷ (1 + 4/5)|405 ÷ ((1 + 4/5) × 9/10)|405 ÷ 9/10|405 ÷ ((1 + 6/5) × 9/10)|B|Together they cost x × (1 + 4/5), and after the 1/10 discount that becomes x × (1 + 4/5) × 9/10 = 405; dividing both sides by (1 + 4/5) × 9/10 gives x: 405 ÷ ((1 + 4/5) × 9/10).|
29|A washing machine costs x, and a tumble dryer costs 25% more than the washing machine. Buying both together with a 10% discount on the total costs £405. Which equation could be used to find x, the price of the washing machine?|(x + (x × 75/100)) × 90/100 = 405|x × 125/100 × 90/100 = 405|(x + (x × 125/100)) × 90/100 = 405|(x + (x × 125/100)) × 10/100 = 405|C|The tumble dryer costs 25% more than the washing machine, so it costs x × 125/100; add that to x itself, then the 10% discount leaves 90% of the combined total, which equals £405: (x + (x × 125/100)) × 90/100 = 405.|
30|A kettle costs x, and a toaster costs 1/6 less than the kettle. Buying both together with a 1/12 discount off the combined total costs £121. Which equation could be used to find x, the price of the kettle?|(x + (x × 1/12)) × 11/12 = 121|x × 5/6 × 11/12 = 121|(x + (x × 7/6)) × 11/12 = 121|(x + (x × 5/6)) × 11/12 = 121|D|The toaster costs 1/6 less than the kettle, so it costs x × 5/6; add that to x itself, then the 1/12 discount leaves 11/12 of the combined total, which equals £121: (x + (x × 5/6)) × 11/12 = 121.|
31|A rug costs x, and a matching cushion costs 45% more than the rug. Buying both together with an 8% discount on the total costs £450.80. Which equation could be used to find x, the price of the rug?|x × 145/100 × 92/100 = 450.8|(x + (x × 145/100)) × 92/100 = 450.8|(x + (x × 55/100)) × 92/100 = 450.8|(x + (x × 145/100)) × 8/100 = 450.8|B|The cushion costs 45% more than the rug, so it costs x × 145/100; add that to x itself, then the 8% discount leaves 92% of the combined total, which equals £450.8: (x + (x × 145/100)) × 92/100 = 450.8.|
32|A dress costs x, and a handbag costs 70% less than the dress. Buying both together with an 18% discount on the total costs £319.80. Which equation could be used to find x, the price of the dress?|(x + (x × 30/100)) × 82/100 = 319.8|(x + (x × 170/100)) × 82/100 = 319.8|x × 30/100 × 82/100 = 319.8|(x + (x × 30/100)) × 18/100 = 319.8|A|The handbag costs 70% less than the dress, so it costs x × 30/100; add that to x itself, then the 18% discount leaves 82% of the combined total, which equals £319.8: (x + (x × 30/100)) × 82/100 = 319.8.|
33|A treadmill costs x, and a yoga mat costs 1/8 more than the treadmill. Buying both together with a 1/9 discount off the total costs £340. Which equation could be used to find x, the price of the treadmill?|(x + (x × 9/8)) × 1/9 = 340|(x + (x × 7/8)) × 8/9 = 340|(x + (x × 9/8)) × 8/9 = 340|x × 9/8 × 8/9 = 340|C|The yoga mat costs 1/8 more than the treadmill, so it costs x × 9/8; add that to x itself, then the 1/9 discount leaves 8/9 of the combined total, which equals £340: (x + (x × 9/8)) × 8/9 = 340.|
34|A guitar costs x, and an amp costs 55% less than the guitar. Buying both together with a 5% discount on the total costs £551. Which equation could be used to find x, the price of the guitar?|x × 45/100 × 95/100 = 551|(x + (x × 45/100)) × 5/100 = 551|(x + (x × 155/100)) × 95/100 = 551|(x + (x × 45/100)) × 95/100 = 551|D|The amp costs 55% less than the guitar, so it costs x × 45/100; add that to x itself, then the 5% discount leaves 95% of the combined total, which equals £551: (x + (x × 45/100)) × 95/100 = 551.|
35|Sunglasses cost £24. A protective case costs 35% more than the sunglasses. How much MORE expensive is the case than the sunglasses, before any discount?|24 × 135/100|24 × 35/100|24 × 65/100|24 + (24 × 35/100)|B|The case costs 35% more than the sunglasses, so the extra amount it costs — not its full price — is just that 35% of £24: 24 × 35/100.|
36|A tent costs £120, and a sleeping bag costs 1/3 more than the tent. Before any discount, what fraction of the combined cost does the sleeping bag make up?|120 ÷ (120 + (120 × 4/3))|(120 × 4/3) ÷ 120|(120 × 2/3) ÷ (120 + (120 × 2/3))|(120 × 4/3) ÷ (120 + (120 × 4/3))|D|The sleeping bag costs 120 × 4/3; the fraction it makes up of the whole combined cost is its own price divided by the total combined price: (120 × 4/3) ÷ (120 + (120 × 4/3)).|
37|A camera costs £480, and a lens costs 25% more than the camera. The shop only applies a 20% discount to the price of the lens — not to the camera. How much do you pay for both altogether?|(480 + (480 × 125/100)) × 80/100|480 × 125/100 × 80/100|480 + (480 × 125/100 × 80/100)|480 + ((480 × 125/100) × 20/100)|C|Because the 20% discount applies only to the lens, the camera is paid at full price and only the lens's price is reduced: 480 + (480 × 125/100 × 80/100).|
38|A piano costs £900, and a stool costs 90% less than the piano. Buying both together gives a 10% discount on the combined total, and then a loyalty card takes a further 5% off the already-discounted price. How much do you pay in total?|(900 + (900 × 10/100)) × 90/100 × 95/100|(900 + (900 × 10/100)) × 85/100|(900 + (900 × 10/100)) × 90/100|900 × 10/100 × 90/100 × 95/100|A|The stool costs 900 × 10/100; add that to the piano's price, then apply the 10% discount and, separately after that, the further 5% loyalty discount: (900 + (900 × 10/100)) × 90/100 × 95/100.|
39|A drone costs £600, and a spare battery costs 20% more than the drone. Buying both together costs £1188 after a discount is applied to the combined price. Which calculation gives the percentage discount that was applied?|((600 + (600 × 120/100)) − 1188) ÷ 600 × 100|((600 + (600 × 120/100)) − 1188) ÷ (600 + (600 × 120/100)) × 100|((600 + (600 × 120/100)) − 1188) ÷ 1188 × 100|1188 ÷ (600 + (600 × 120/100)) × 100|B|The combined price before any discount is 600 + (600 × 120/100); the discount removed the difference between that and £1188, and the percentage discount is that difference divided by the original combined price: ((600 + (600 × 120/100)) − 1188) ÷ (600 + (600 × 120/100)) × 100.|
40|A skateboard costs £60, and a set of pads costs £81. Which calculation gives the percentage by which the pads cost more than the skateboard?|81 ÷ 60 × 100|(81 − 60) ÷ 81 × 100|(81 − 60) ÷ 60 × 100|81 − 60|C|The pads cost £21 more than the skateboard; to express that as a percentage of the skateboard's own price, divide the difference by the skateboard's price and multiply by 100: (81 − 60) ÷ 60 × 100.|
