Question Num|Question|Option-A|Option-B|Option-C|Option-D|Answer|Explanation|Feedback-A|Feedback-B|Feedback-C|Feedback-D|
32|Diego froze for a moment, **overwhelmed** by the noise of the crowded stadium.|unnerved|entertained|refreshed|bored|A|"Overwhelmed" means having very strong feelings, which can make you feel "unnerved".|Made someone lose confidence or courage|Amused or interested|Made to feel less tired|Feeling weary from lack of interest|
33|During her gap year abroad, Priya **acquired** many valuable life skills.|lost|ignored|borrowed|developed|D|To "acquire" a skill means to learn it, or "develop" it.|No longer had something|Paid no attention to|Took something temporarily|Gained or built up gradually|
6|As a child, I **seldom** visited the seaside.|eagerly|annually|hardly|willingly|C|"Seldom" means not very often, close to "hardly ever".|With great enthusiasm|Once a year|Almost never|Readily, without being forced|
7|She stayed remarkably **composed** throughout the final exam.|nervous|calm|excited|tired|B|"Composed" means staying "calm" and in control of your feelings.|Anxious or apprehensive|Free from nervousness or anxiety|Feeling enthusiastic and eager|In need of rest|
8|The lighthouse was **prominent** against the grey evening sky.|hidden|fragile|distant|noticeable|D|"Prominent" means easy to see, or "noticeable".|Not able to be seen|Easily broken or damaged|Far away|Easy to see or notice|
9|He knocked softly, careful not to **intrude** on their conversation.|disturb|demand|insult|delay|A|To "intrude" means to interrupt, or "disturb", someone.|To interrupt or disrupt|To ask for something forcefully|To speak rudely to or about someone|To make something happen later|
10|The jury felt that the witness's story was completely **illogical**.|convincing|brief|senseless|rehearsed|C|"Illogical" means not making sense, or "senseless".|Able to make someone believe something|Lasting only a short time|Lacking clear reason or meaning|Practised in advance|
27|To ancient sailors, the idea of flying across oceans was **inconceivable**.|thrilling|unimaginable|forbidden|costly|B|"Inconceivable" means impossible to imagine, so it matches "unimaginable".|Causing great excitement|Impossible to imagine|Not allowed|Expensive|
28|Climbers said the icy ledge felt extremely **precarious**.|comfortable|familiar|spacious|dangerous|D|"Precarious" means unsafe, or "dangerous".|Physically relaxed, at ease|Well known through frequent contact|Having a lot of space|Likely to cause harm|
29|Employees were reminded that the client files were strictly **confidential**.|private|outdated|incomplete|duplicated|A|"Confidential" means secret, or "private".|Meant to be kept secret|No longer current or fashionable|Not finished, missing parts|Copied exactly|
30|She felt her classmates were acting in a very **juvenile** way during the trip.|polite|generous|immature|quiet|C|"Juvenile" means childish, or "immature", behaviour.|Showing good manners|Willing to give freely|Childish, not fully developed|Making little noise|
31|In a **dignified** way, the coach accepted the referee's harsh decision.|angry|composed|careless|nervous|B|"Dignified" means behaving calmly and with respect, or "composed".|Feeling strong displeasure|Calm and in control|Not paying enough attention|Anxious or apprehensive|
32|His **fickle** taste in music made it hard to plan the party playlist.|refined|expensive|private|inconstant|D|"Fickle" means often changing your mind, or being "inconstant".|Elegant and cultured|Costing a lot of money|Not for public knowledge|Often changing, not loyal or steady|
33|The stock market went through **tumultuous** swings after the announcement.|volatile|gradual|predictable|minor|A|"Tumultuous" means very chaotic and unsettled, or "volatile".|Liable to change suddenly, unstable|Happening slowly over time|Able to be foreseen|Small or unimportant|
34|The crowd cheered at how **valiantly** the goalkeeper defended the final shot.|casually|hastily|courageously|quietly|C|"Valiantly" means bravely, or "courageously".|In a relaxed, informal way|With excessive speed or urgency|In a brave, fearless way|Without making noise|
35|The **prolific** inventor filed over twenty patents in a single decade.|cautious|productive|secretive|wealthy|B|"Prolific" means making a lot of something, so it matches "productive".|Careful to avoid risk|Producing a large amount of something|Inclined to keep things hidden|Having a lot of money|
36|The **discerning** editor noticed the smallest inconsistency in the manuscript.|impatient|generous|forgetful|perceptive|D|"Discerning" means noticing small details well, or "perceptive".|Unable to wait calmly|Willing to give freely|Often forgetting things|Quick to notice small details|
26|The old professor grew more **eccentric** with every passing year.|unconventional|forgetful|cautious|generous|A|"Eccentric" means unusual or different, or "unconventional".|Not following usual customs or ways|Often forgetting things|Careful to avoid risk|Willing to give freely|
27|They grew **agitated** when the flight was delayed for the third time.|amused|hopeful|distressed|indifferent|C|"Agitated" means feeling worried or upset, or "distressed".|Finding something entertaining|Feeling positive about something happening|Feeling anxious or troubled|Showing no interest or concern|
28|The volunteers were disappointed by the **meagre** donations collected that day.|generous|insufficient|unexpected|prompt|B|"Meagre" means too small or not enough, or "insufficient".|More than enough, given freely|Not enough for what is needed|Not anticipated|Done quickly, without delay|
29|Investigators struggled to **ascertain** the source of the leak.|determine|forgive|publish|exaggerate|A|To "ascertain" means to find out for sure, or "determine" it.|To find out for certain|To stop feeling angry about something|To make information public|To make something seem bigger than it is|
30|Parents were **aghast** at the condition of the playground equipment.|amused|curious|relieved|appalled|D|"Aghast" means shocked or horrified, like being "appalled".|Finding something entertaining|Wanting to know more about something|No longer feeling worried|Filled with horror or shock|
16|The fans held their banners **aloft** as the team walked onto the pitch.|sideways|loosely|high|briefly|C|"Aloft" means up in the air, or "high" up.|Toward one side, not straight ahead|Not firmly or tightly|Up in the air|For a short time|
17|The old bridge's condition **deteriorated** quickly after the flood.|stabilised|declined|improved|vanished|B|"Deteriorated" means getting worse, or "declined".|Became steady, stopped changing|Became worse or weaker|Got better|Disappeared completely|
18|The judge's expression stayed **dispassionate** as the verdict was read aloud.|tearful|delighted|furious|impassive|D|"Dispassionate" means showing no strong feelings, or "impassive".|On the verge of crying, emotional|Feeling great pleasure|Extremely angry|Showing no emotion|
19|The guests were thoroughly **satiated** after the enormous banquet.|satisfied|exhausted|disappointed|restless|A|"Satiated" means feeling completely full, or "satisfied".|Having your needs fully met|Extremely tired|Feeling let down|Unable to stay still or relax|
20|Everyone found the puppy's clumsy little hops utterly **endearing**.|alarming|exhausting|charming|ordinary|C|"Endearing" means sweet and lovable, or "charming".|Causing fear or concern|Causing extreme tiredness|Pleasing in a way that inspires affection|Not special or unusual|
31|Drinking green tea is **allegedly** beneficial for concentration.|rarely|supposedly|obviously|traditionally|B|"Allegedly" means people say it is true, or "supposedly" true.|Not often|According to what is said, though not proven|Clearly, without doubt|According to long-established custom|
32|The two old friends have kept up **sporadic** contact since graduating.|constant|formal|distant|occasional|D|"Sporadic" means happening now and then, or "occasional".|Happening all the time|Following official rules and conventions|Far away|Happening now and then, not regularly|
