Question Num|Question|Option-A|Option-B|Option-C|Option-D|Option-E|Option-F|Answer|Explanation|
30|New word prefixes (each prefix is used only once in this set of 7)::Choose the correct prefix to add to **trustful** in order to create a new word. This new word must make sense.|mis|dis|in|de|im|non|A|"Mis-" + trustful = "mistrustful" (feeling or showing distrust; suspicious), which makes sense as a new word.|
31|New word prefixes (each prefix is used only once in this set of 7)::Choose the correct prefix to add to **likely** in order to create a new word. This new word must make sense.|mis|un|dis|in|de|non|B|"Un-" + likely = "unlikely" (not expected to happen or be true), which makes sense as a new word.|
32|New word prefixes (each prefix is used only once in this set of 7)::Choose the correct prefix to add to **proper** in order to create a new word. This new word must make sense.|mis|un|dis|in|im|non|E|"Im-" + proper = "improper" (not in accordance with accepted standards of behaviour), which makes sense as a new word.|
33|New word prefixes (each prefix is used only once in this set of 7)::Choose the correct prefix to add to **frost** in order to create a new word. This new word must make sense.|mis|un|dis|de|im|non|D|"De-" + frost = "defrost" (to remove ice or become free of ice), which makes sense as a new word.|
34|New word prefixes (each prefix is used only once in this set of 7)::Choose the correct prefix to add to **conceivable** in order to create a new word. This new word must make sense.|mis|un|dis|in|de|im|D|"In-" + conceivable = "inconceivable" (impossible to imagine or believe), which makes sense as a new word.|
35|New word prefixes (each prefix is used only once in this set of 7)::Choose the correct prefix to add to **essential** in order to create a new word. This new word must make sense.|mis|un|in|de|im|non|F|"Non-" + essential = "nonessential" (not absolutely necessary), which makes sense as a new word.|
36|New word prefixes (each prefix is used only once in this set of 7)::Choose the correct prefix to add to **agree** in order to create a new word. This new word must make sense.|un|dis|in|de|im|non|B|"Dis-" + agree = "disagree" (to hold a different opinion), which makes sense as a new word.|
37|New word prefixes (each prefix is used only once in this set of 7)::Choose the correct prefix to add to **change** in order to create a new word. This new word must make sense.|pre|trans|al|in|sub|ex|F|"Ex-" + change = "exchange" (to give one thing and receive another in return), which makes sense as a new word.|
38|New word prefixes (each prefix is used only once in this set of 7)::Choose the correct prefix to add to **align** in order to create a new word. This new word must make sense.|pre|trans|al|mis|in|ex|D|"Mis-" + align = "misalign" (to arrange something so it is out of its correct position), which makes sense as a new word.|
39|New word prefixes (each prefix is used only once in this set of 7)::Choose the correct prefix to add to **par** in order to create a new word. This new word must make sense.|pre|trans|al|mis|sub|ex|E|"Sub-" + par = "subpar" (below the usual or expected standard), which makes sense as a new word.|
40|New word prefixes (each prefix is used only once in this set of 7)::Choose the correct prefix to add to **visible** in order to create a new word. This new word must make sense.|pre|al|mis|in|sub|ex|D|"In-" + visible = "invisible" (unable to be seen), which makes sense as a new word.|
41|New word prefixes (each prefix is used only once in this set of 7)::Choose the correct prefix to add to **port** in order to create a new word. This new word must make sense.|pre|trans|mis|in|sub|ex|B|"Trans-" + port = "transport" (to take or carry something from one place to another), which makes sense as a new word.|
42|New word prefixes (each prefix is used only once in this set of 7)::Choose the correct prefix to add to **mighty** in order to create a new word. This new word must make sense.|trans|al|mis|in|sub|ex|B|"Al-" + mighty = "almighty" (having complete power; omnipotent), which makes sense as a new word.|
43|New word prefixes (each prefix is used only once in this set of 7)::Choose the correct prefix to add to **pare** in order to create a new word. This new word must make sense.|pre|trans|al|mis|in|sub|A|"Pre-" + pare = "prepare" (to make something ready for use or consideration), which makes sense as a new word.|
