Question_Num|Question|Option-A|Option-B|Option-C|Option-D|Answer|Explanation|Feedback-A|Feedback-B|Feedback-C|Feedback-D|
52|The soldiers **sacrificed** their own safety to protect the village.|gained|renounced|protected|kept|B|"Sacrificed" means giving up something important, just like to "renounce" it.|Obtained or acquired something|Formally gave up or rejected|Kept safe from harm|Held on to something|
53|He eyed the mysterious parcel **dubiously** before opening it.|confidently|suspiciously|admiringly|warmly|B|"Dubiously" means feeling unsure and not fully trusting something, just like "suspiciously".|In a self-assured way|In a distrustful, doubting way|With a feeling of respect or approval|In a friendly, affectionate way|
54|Doctors called her recovery **miraculous** after such a serious injury.|dull|ordinary|magical|gloomy|C|"Miraculous" describes something amazing and hard to believe, just like "magical".|Lacking interest or brightness|Not special or unusual|Wonderful and hard to believe|Dark and depressing|
55|The abandoned house was **eerily** silent as we walked inside.|normally|strangely|pleasantly|briefly|B|"Eerily" means in a way that feels strange and a little scary, just like "strangely".|In the usual, expected way|In an odd, unsettling way|In an enjoyable, agreeable way|For a short time|
56|She taught the children to **weave** baskets from dried reeds.|separate|entwine|cut|flatten|B|To "weave" means to twist things together, just like to "entwine" them.|To move apart or divide|To twist together|To divide using a sharp tool|To make something flat|
57|A small stone had **lodged** itself in the sole of my shoe.|floating|stuck|dissolved|removed|B|"Lodged" means firmly caught in one place, just like "stuck".|Resting on or drifting in a liquid or air|Firmly fixed in one place|Broken down and mixed into a liquid|Taken away from a place|
58|The detective worked hard to **ascertain** who had been at the scene.|fathom|dismiss|forget|deny|A|To "ascertain" means to find out or understand something, just like to "fathom" it.|To understand after careful thought|To refuse to consider something|To fail to remember|To state that something is not true|
70|He **flaunted** his new watch in front of his jealous friends.|hid|paraded|concealed|buried|B|"Flaunted" means showing something off proudly, just like "paraded".|Kept out of sight|Displayed proudly in public|Kept secret or hidden|Put underground or covered up|
71|The new intern's **ingratiating** smile made the manager suspicious.|rude|distant|fawning|indifferent|C|"Ingratiating" means trying hard to make someone like you, just like being "fawning".|Showing bad manners|Not friendly or emotionally close|Excessively flattering to win favour|Showing no interest or concern|
72|The view from the mountain top was absolutely **sublime**.|bland|glorious|bitter|sour|B|"Sublime" means wonderful and amazing, just like "glorious".|Lacking flavour or interest|Wonderful and magnificent|Having a sharp, unpleasant taste|Having a sharp, acidic taste|
73|Her confidence was **flowering** after months of public speaking practice.|fading|developing|stalling|weakening|B|Here, "flowering" means growing and getting better, just like "developing".|Gradually disappearing or losing strength|Growing and improving|Coming to a stop, making no progress|Becoming less strong|
74|The school trip was so **shambolic** that nobody knew where to go.|organised|chaotic|orderly|structured|B|"Shambolic" means very messy and disorganised, just like "chaotic".|Arranged in a neat, planned way|Completely disorganised and confused|Neat and well arranged|Carefully organised or arranged|
75|The advert made **hyperbolic** claims about what the product could do.|understated|accurate|exaggerated|modest|C|"Hyperbolic" describes something made to sound much bigger than it really is, just like "exaggerated".|Presented in a restrained way|Correct and precise|Made to seem much bigger than it is|Not showy or excessive|
76|The judges clearly **favoured** the dancer with the most energy.|disliked|avoided|preferred|rejected|C|To "favour" something means to like it more than other things, just like to "prefer" it.|Felt distaste for|Kept away from|Liked better than others|Refused to accept|
77|His arguments seemed rather **shallow** once you looked past the surface.|profound|insightful|superficial|deep|C|"Shallow" can describe a person who doesn't think deeply about things, just like being "superficial".|Showing deep understanding|Showing clear understanding|Lacking depth of thought or feeling|Having great depth|
78|The temperature dropped **slightly** as the sun began to set.|entirely|somewhat|hardly|immensely|B|"Slightly" means just a little bit, just like "somewhat".|Completely, fully|To a small extent|Almost not at all|To a very great extent|
79|She **savoured** every bite of her birthday cake.|rejected|relished|ignored|wasted|B|To "savour" means to enjoy something fully, just like to "relish" it.|Refused to accept|Enjoyed greatly|Paid no attention to|Used carelessly without benefit|
80|The smell of fresh bread came **wafting** through the kitchen door.|drifting|exploding|vanishing|freezing|A|"Wafting" means moving gently through the air, just like "drifting".|Moving slowly and gently through the air|Bursting suddenly and violently|Disappearing suddenly|Becoming very cold or solid|
81|The children were **curious** about the strange noise coming from the attic.|bored|intrigued|indifferent|uninterested|B|"Curious" means wanting to know more about something, just like being "intrigued".|Feeling weary from lack of interest|Having your interest aroused|Showing no interest or concern|Not interested|
82|The bouquet had **wilted** long before the party even started.|bloomed|drooped|flourished|straightened|B|"Wilted" means becoming weak and bending over from heat, just like flowers that "droop".|Opened into flower, thrived|Bent or hung down weakly|Grew or developed successfully|Became straight|
83|Her hands **trembled** as she opened the exam results.|stilled|quaked|calmed|settled|B|"Trembled" means shaking, just like when something "quaked".|Became motionless|Shook or trembled|Became peaceful and steady|Became stable or resolved|
39|Her determination continues to **inspire** everyone around her.|discourage|motivate|weaken|exhaust|B|To "inspire" means to encourage someone to do something, just like to "motivate" them.|To make someone less likely to do something|To encourage someone to act|To make less strong|To make very tired|
40|It was **courageous** of him to speak up in front of the whole school.|timid|fearless|cowardly|anxious|B|"Courageous" means being brave and not scared, just like "fearless".|Easily frightened, shy|Without fear, brave|Lacking courage|Feeling worried or nervous|
41|The staff at the hotel were always **courteous** to their guests.|rude|dismissive|respectful|arrogant|C|"Courteous" means being polite, just like "respectful".|Showing bad manners|Showing a lack of interest, in a scornful way|Showing politeness and consideration|Having an exaggerated sense of importance|
42|The dinosaur skeleton in the museum was truly **gargantuan**.|tiny|colossal|average|modest|B|"Gargantuan" means extremely huge, just like "colossal".|Extremely small|Extremely large|Typical, not exceptional|Moderate in size|
43|I **loathe** waiting in long queues at the supermarket.|despise|adore|admire|welcome|A|To "loathe" means to hate something a lot, just like to "despise" it.|To feel intense dislike for|To love deeply|To regard with respect|To receive with pleasure|
44|She **recoiled** when the dog jumped up at her unexpectedly.|advanced|winced|approached|smiled|B|"Recoiled" means pulling back quickly because you don't like something, just like to "wince".|Moved forward|Pulled back sharply, as in pain or disgust|Came nearer to something|Made a happy facial expression|
45|The shelves were **laden** with books nobody had read in years.|empty|overloaded|tidy|sparse|B|"Laden" means carrying too much, just like being "overloaded".|Containing nothing|Carrying too much weight|Neat and orderly|Thinly scattered, not abundant|
46|The audience sat **mesmerised** as the magician performed his final trick.|bored|captivated|distracted|annoyed|B|Being "mesmerised" means so interested that you can't look away, just like being "captivated".|Feeling weary from lack of interest|Had your attention completely held|Unable to concentrate, attention diverted|Feeling irritated|
47|"That kind of comment always **provokes** an argument," she warned.|resolves|instigates|silences|calms|B|To "provoke" means to make something happen, just like to "instigate" it.|Settles or finds a solution to|Brings about or triggers|Makes quiet|Makes peaceful|
48|"I don't want to **lumber** you with extra chores," Dad said apologetically.|relieve|saddle|free|spare|B|To "lumber" someone means to give them a difficult job, just like to "saddle" them with it.|To ease a burden|To burden someone with a difficult task|To release from an obligation|To refrain from imposing something on someone|
49|His calm **countenance** reassured everyone in the room.|voice|appearance|opinion|schedule|B|A person's "countenance" means the look on their face, or their "appearance".|The sound produced when speaking|The way someone looks|A personal view or belief|A planned list of events or times|
50|It was **thoughtless** of her to cancel the plans without any warning.|careful|considerate|heedless|cautious|C|"Thoughtless" means not thinking about what might happen, just like being "heedless".|Taking care to avoid mistakes|Thinking about others' feelings|Not paying attention to consequences|Careful to avoid danger|
51|The branches **bowed** under the weight of the fresh snow.|straightened|stooped|stretched|rose|B|To "bow" means to bend down low, just like to "stoop".|Became straight|Bent forward and down|Extended in length|Moved upward|
52|Buying the car on the spot was a very **impulsive** decision.|cautious|impetuous|deliberate|patient|B|"Impulsive" means doing things quickly without thinking first, just like being "impetuous".|Careful to avoid risk|Acting quickly without thinking|Done consciously and intentionally|Able to wait calmly|
53|Even as a puppy, the dog had always been remarkably **docile**.|aggressive|obedient|stubborn|wild|B|"Docile" means gentle and easy to control, just like being "obedient".|Ready to attack or confront|Willing to do as told, easy to control|Refusing to change one's attitude|Not tame or controlled|
